
 WorkFlow
Start 2022-08-22 18:46:25  Run : 13 nSubj: 150 nObs : 1650
 Iter     -2LL    tvKa     tvV    tvCl   dCldWT
    1 14374.20 1.19395 83.3830 7.84339 0.126261
    2 14369.76 1.20957 88.4175 8.14572 0.617478
    3 14350.27 1.23350 85.9780 8.28874 1.364270
    4 14335.09 1.12097 83.4812 7.86278 2.479530
    5 14330.22 1.17202 83.3696 7.44418 2.800390
    6 14328.95 1.20114 79.4911 7.74488 2.869800
    7 14328.12 1.19570 80.8358 7.63474 2.847240
    8 14328.07 1.19629 80.7304 7.58766 2.905680
    9 14328.07 1.19543 80.6511 7.57514 2.897760
   10 14328.07 1.19566 80.6477 7.58846 2.898510
   11 14328.05 1.19794 80.6935 7.60273 2.874530
